['老友记 第十季 Friends Season 10', '9.8', '41753', '2003-09-25(美国)']
['百年酒馆 Horace and Pete', '9.3', '11510', '2016-01-30(美国)']
['十二怒汉 12 Angry Men', '9.3', '164175', '1957-04-13(美国)']
['香港香港之霸王別姬', '9.3', '5005', '1981']
['虫师 蟲師', '9.3', '52238', '2005-10-22(日本)']
['奥丽芙·基特里奇 Olive Kitteridge', '9.3', '13589', '2014-11-02(美国)']
['乒乓 ピンポン THE ANIMATION', '9.3', '12871', '2014-04-10(日本)']
['灿烂人生 La meglio gioventù', '9.3', '20163', '2003-06-22']
['同志亦凡人 第五季 Queer as Folk Season 5', '9.3', '5027', '2005-05-22(美国)']
['ćˇˇć˛\x8cć\xadŚĺŁŤ ă\x82ľă\x83\xa0ă\x83Šă\x82¤ă\x83\x81ă\x83Łă\x83łă\x83\x97ă\x83Ťă\x83ź', '9.3', '26457', '2004-05-19(ć\x97Ľć\x9cŹ)']
['回忆积木小屋 つみきのいえ', '9.3', '99317', '2008-06-10']
['搭车去柏林', '9.3', '17632', '2010-02-14(中国大陆)']
['我们的留学生活—在日本的日子', '9.3', '7343', 'none']
['团子大家族 第二季 CLANNAD ～AFTER STORY～', '9.3', '12744', '2008-10-02(日本)']
['无耻之徒(美版) 第五季 Shameless Season 5', '9.3', '16689', '2015-01-11(美国)']
['火花', '9.3', '15435', '2016-06-03(日本)']
['广告狂人 第五季 Mad Men Season 5', '9.3', '8070', '2012-03-25']
['续倒数第二次恋爱 続・最後から二番目の恋', '9.3', '7112', '2014-04-17(日本)']
['机器人总动员 WALL·E', '9.3', '483315', '2008-06-27(美国)']
['未生 미생', '9.3', '35337', '2014-10-17(韩国)']
['仁医 完结篇 JIN-仁2', '9.3', '13284', '2011-04-17(日本)']
['元气囝仔 ばらかもん', '9.3', '11396', '2014-07-06(日本)']
['广告狂人  第四季 Mad Men Season 4', '9.2', '8465', '2010-07-25']
['盗梦空间 Inception', '9.2', '736245', '2010-09-01(中国大陆)']
['人生七年8 56 Up', '9.2', '6862', '2012-05-14(英国)']
['住在清潭洞 청담동 살아요', '9.2', '7142', '2011-12-05(韩国)']
['茶馆', '9.2', '12792', '1982']
['马男波杰克 第一季 BoJack Horseman Season 1', '9.2', '29732', '2014-08-22(美国)']
['广告狂人  第三季 Mad Men Season 3', '9.2', '8962', '2009-08-16']
['唐顿庄园 第六季 Downton Abbey Season 6', '9.2', '12632', '2015-09-20(英国)']
['绝望主妇  第八季 Desperate Housewives Season 8', '9.2', '19306', '2011-09-25(美国)']
['乱世佳人 Gone with the Wind', '9.2', '262625', '1940-01-17(美国)']
["生活多美好 It's a Wonderful Life", '9.2', '30546', '1946-12-20']
['教父 The Godfather', '9.2', '331688', '1972-03-15(纽约首映)']
['人生七年1 Seven Up!', '9.2', '5131', '1964-05-05(英国)']
['背靠背，脸对脸', '9.2', '11231', '1994-09-10(多伦多电影节)']
['泰坦尼克号 Titanic', '9.2', '628466', '1998-04-03(中国大陆)']
['放牛班的春天 Les choristes', '9.2', '435152', '2004-10-16(中国大陆)']
['光阴的故事 Guang yin de gu shi', '9.2', '5347', '2008-11-01']
['大宅门', '9.2', '49822', '2001-04-15(中国大陆)']
['切腹', '9.2', '10087', '1962-09-16(日本)']
['ć\x91Šç\x99ťć\x97śäťŁ Modern Times', '9.2', '80935', '1936-02-25(çž\x8eĺ\x9b˝)']
['深夜食堂', '9.2', '95763', '2009-10-09(日本)']
["海上钢琴师 La leggenda del pianista sull'oceano", '9.2', '580700', '1998-10-28(意大利)']
['士兵突击', '9.2', '57205', '2006-12-24(中国大陆)']
['东京物语 東京物語', '9.2', '45914', '1953-11-03']
['父与女 Father and Daughter', '9.2', '57045', '2001-05-27']
["调音师 L'accordeur", '9.2', '117148', '2010-02(克莱蒙费朗国际短片电影节)']
['大话西游之大圣娶亲 西遊記大結局之仙履奇緣', '9.2', '468453', '2014-10-24(中国大陆)']
['小鞋子 بچههای آسمان', '9.2', '129075', '1997-02(伊朗)']
['含泪活着 泣きながら生きて', '9.1', '12451', '2006-11-03(日本)']
['三傻大闹宝莱坞 3 Idiots', '9.1', '646783', '2011-12-08(中国大陆)']
['触不可及 Intouchables', '9.1', '352916', '2011-11-02(法国)']
['天堂电影院 Nuovo Cinema Paradiso', '9.1', '300351', '1988-11-17(意大利)']
['星际穿越 Interstellar', '9.1', '461401', '2014-11-12(中国大陆)']
['广告狂人 第六季 Mad Men Season 6', '9.1', '6642', '2013-04-07(美国)']
['窃听风暴 Das Leben der Anderen', '9.1', '212421', '2006-03-23(德国)']
['最完美的离婚 2014特别篇 最高の離婚Special 2014', '9.1', '24464', '2014-02-08(日本)']
['深夜食堂2', '9.1', '45967', '2011-10-13(日本)']
['地球之盐 Le sel de la Terre', '9.1', '11463', '2014-10-15(法国)']
['寻找小糖人 Searching for Sugar Man', '9.1', '34619', '2012-07-26(英国)']
['食物 Jídlo', '9.1', '9256', '1993-09-11(加拿大多伦多电影节)']
['雇佣人生 El Empleo', '9.1', '51881', '2008-09-04(阿根廷)']
["实习医生格蕾 第九季 Grey's Anatomy Season 9", '9.1', '8931', '2012-09-27(美国)']
['对话的维度 Možnosti dialogu', '9.1', '12065', '1982']
['教父2 The Godfather: Part Ⅱ', '9.1', '178845', '1974-12-12(纽约首映)']
['女人步上楼梯时 女が階段を上る時', '9.1', '5380', '1960-01-15(日本)']
['美国往事 Once Upon a Time in America', '9.1', '166812', '1984-02-17(波士顿首映)']
['四重奏 カルテット', '9.1', '63833', '2017-01-17(日本)']
['车轮不息 Where The Trail Ends', '9.1', '7728', 'none']
['围城', '9.1', '12996', '1990']
['倒数第二次恋爱 2012秋SP 最後から二番目の恋 2012秋', '9.1', '5492', '2012-11-02(日本)']
['革命往事 Giù la testa', '9.1', '5393', '1971-10-20(意大利)']
['地下 Подземље', '9.1', '23153', '1995-04-01(南斯拉夫)']
["互联网之子 The Internet's Own Boy: The Story of Aaron Swartz", '9.1', '8072', '2014-01-20(圣丹斯电影节)']
['我们都为比尔着盛装 Bill Cunningham New York', '9.1', '8369', '2011-03-16(美国)']
['茶馆', '9.1', '5482', '2010-07-16(中国大陆)']
['天堂回信', '9.1', '8666', '1994-11-06']
['攀登梅鲁峰 Meru', '9.1', '6841', '2015-01-23(圣丹斯电影节)']
['独立游戏大电影 Indie Game: The Movie', '9.1', '5083', '2012-01-20(圣丹斯电影节)']
['我的父亲，我的儿子 Babam ve Oğlum', '9.1', '11664', '2005-11-18']
['倒数第二次恋爱 最後から二番目の恋', '9.1', '13717', '2012-01-12(日本)']
['剃头匠', '9.1', '6440', '2006-10-24']
['活着', '9.0', '252537', '1994-05-18(法国)']
['我是 Jestem', '9.0', '5963', '2005-09-10']
['少年派的奇幻漂流 Life of Pi', '9.0', '560601', '2012-11-22(中国大陆)']
['无翼鸟 Kiwi!', '9.0', '32380', '2006-05-05(美国)']
['楚门的世界 The Truman Show', '9.0', '432082', '1998-06-05(美国)']
['红鳉鱼 赤めだか', '9.0', '20945', '2015-12-28(日本)']
['总而言之 第一季 Bref Season 1', '9.0', '14668', '2011-09-01']
['南海十三郎', '9.0', '11244', '1997-05-15(香港)']
['平衡 Balance', '9.0', '35301', 'none']
['生之欲 生きる', '9.0', '9962', '1952-10-09']
['广告狂人  第二季 Mad Men Season 2', '9.0', '10697', '2008-07-27']
["飞越疯人院 One Flew Over the Cuckoo's Nest", '9.0', '268472', '1975-11-21(美国)']
['饮食男女 飲食男女', '9.0', '179422', '1994-08-03(美国)']
['昨夜的咖喱 明日的面包 昨夜のカレー 明日のパン', '9.0', '11114', '2014-10-05(日本)']
['精神分裂症 Skhizein', '9.0', '42645', '2008-05']
['轮回 Samsara', '9.0', '14416', '2011-09-16(多伦多电影节)']
["实习医生格蕾 第十季 Grey's Anatomy Season 10", '9.0', '6299', '2013-09-26(美国)']
['狩猎 Jagten', '9.0', '114312', '2012-05-20(戛纳电影节)']
['完美的世界 A Perfect World', '9.0', '73220', '1993-11-24(美国)']
['赌博默示录 逆境無頼カイジ Ultimate Survivor', '9.0', '5720', '2007-10-02(日本)']
['钢琴家 The Pianist', '9.0', '194599', '2002-05-24(戛纳电影节)']
['四叠半神话大系 四畳半神話大系', '9.0', '15279', '2010-04-22(日本)']
['卡比利亚之夜 Le notti di Cabiria', '9.0', '10948', '1957-05-26']
['家门的荣光 가문의 영광', '9.0', '6415', '2008-10-11(韩国)']
['我爱你 그대를 사랑합니다', '9.0', '50190', '2011-02-17(韩国)']
['无间道 無間道', '9.0', '381807', '2003-09-05(中国大陆)']
['远在天边 Lost and Found', '9.0', '34240', '2008-12-24(英国)']
['真幌站前番外地 まほろ駅前番外地', '9.0', '11988', '2013-01-11(日本)']
['西力传 Zelig', '9.0', '7047', '1983-07-15']
['无人知晓 誰も知らない', '8.9', '40394', '2004-05-13(戛纳电影节)']
['奇诺之旅 キノの旅 -the Beautiful World-', '8.9', '9830', '2003-04-08(日本)']
['天道', '8.9', '8007', '2008-06-01(中国大陆)']
['神女', '8.9', '8938', '1934']
['芙蓉镇', '8.9', '34231', '1986-01-01(中国大陆)']
['大路 La strada', '8.9', '15248', '1954-09-06']
['小豆豆电视台 トットてれび', '8.9', '6046', '2016-04-30(日本)']
['我可能不会爱你 我可能不會愛你', '8.9', '126105', '2012-06-16(中国大陆)']
['老人与海 The Old Man and the Sea', '8.9', '17556', '1999-07-03(日本)']
['大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒', '8.9', '380200', '2014-10-24(中国大陆)']
['永恒和一日 Μια αιωνιότητα και μια μερα', '8.9', '12101', '1998-05-23']
['海蒂和爷爷 Heidi', '8.9', '34884', '2015-12-10(德国)']
['乡愁 Ностальгия', '8.9', '10904', '1983-05-17(戛纳电影节)']
['仁医 JIN-仁-', '8.9', '21843', '2009-10-11(日本)']
['音乐人生 音樂人生', '8.9', '7542', '2009-04-03']
['死亡诗社 Dead Poets Society', '8.9', '263864', '1989-06-02(多伦多首映)']
['当幸福来敲门 The Pursuit of Happyness', '8.9', '520816', '2008-01-17(中国大陆)']
['小森林 冬春篇 リトル・フォレスト 冬・春', '8.9', '96945', '2015-02-14(日本)']
['亲爱的，不要跨过那条江 님아, 그 강을 건너지 마오', '8.9', '5897', '2014-11-27(韩国)']
['闻香识女人 Scent of a Woman', '8.9', '308893', '1992-12-23(美国)']
['偷自行车的人 Ladri di biciclette', '8.9', '37653', '1948-11-24']
['怦然心动 Flipped', '8.9', '520457', '2010-08-06(美国)']
['山地自行车之旅 Life Cycles', '8.9', '5022', '2010-09-21(美国)']
['玛丽和马克思 Mary and Max', '8.9', '225191', '2009-04-09']
['镜子 Зеркало', '8.9', '8646', '1975-03-07(苏联)']
['佛兰德斯的狗 フランダースの犬', '8.9', '7946', '1997-03-15(日本)']
['上帝之城 Cidade de Deus', '8.9', '150991', '2002-05-18(戛纳电影节)']
['美丽心灵 A Beautiful Mind', '8.9', '293501', '2001-12-13(加州首映)']
['最完美的离婚 最高の離婚', '8.9', '62168', '2013-01-10(日本)']
['飞屋环游记 Up', '8.9', '481973', '2009-08-04(中国大陆)']
['与狼共舞 Dances with Wolves', '8.9', '52872', '1990-11-21']
['一一', '8.9', '145071', '2000-05-14(戛纳电影节)']
['算命', '8.9', '8313', '2009-08']
['1公升的泪 1リットルの涙', '8.9', '66553', '2005-10-11(日本)']
['伴我同行 Stand by Me', '8.9', '47292', '1986-08-08(美国)']
['听见天堂 Rosso come il cielo', '8.9', '16780', '2006-10-17(罗马电影节)']
['勇士 Warrior', '8.9', '81115', '2011-09-09(美国)']
['唐顿庄园：2014圣诞特别篇 Downton Abbey: A Moorland Holiday', '8.9', '6355', '2014-12-25(英国)']
['被嫌弃的松子的一生 嫌われ松子の一生', '8.9', '263854', '2006-05-27(日本)']
['苍蝇一分钟的生命 One Minute Fly', '8.9', '52886', '2008']
['父母爱情', '8.9', '15139', '2014-02-02(中国大陆)']
['闯关东', '8.8', '24365', '2008-01-02(中国大陆)']
['天佑鲍比 Prayers for Bobby', '8.8', '27366', '2009-01-24']
['心理游戏 マインド・ゲーム', '8.8', '15053', '2004-08-07(日本)']
['自闭历程 Temple Grandin', '8.8', '39673', '2010-02-06']
['地球上的星星 Taare Zameen Par', '8.8', '76037', '2007-12-21(印度)']
['我的团长我的团', '8.8', '22575', '2009-03-05(中国大陆)']
['拯救大兵瑞恩 Saving Private Ryan', '8.8', '223236', '1998-07-24(美国)']
['楢山节考 楢山節考', '8.8', '14102', '1983-04-29(日本)']
['深夜食堂3', '8.8', '17882', '2014-10-19(日本)']
['末代皇帝 The Last Emperor', '8.8', '149608', '1987-10-04(东京国际电影节)']
['雾中风景 Τοπίο στην ομίχλη', '8.8', '18086', '1988-09-10']
['女人四十 女人，四十', '8.8', '21587', '1995-02(柏林电影节)']
['林来疯 Linsanity', '8.8', '5861', '2013-01-20(圣丹斯电影节)']
['再见，我的新郎 Bridegroom', '8.8', '16980', '2013-04-23(纽约翠贝卡)']
['步履不停 歩いても 歩いても', '8.8', '53599', '2008-06-28(日本)']
['勇敢的心 Braveheart', '8.8', '285701', '1995-05-24']
['童年往事', '8.8', '19992', '1985-08-03(台湾)']
['问题餐厅 問題のあるレストラン', '8.8', '27449', '2015-01-15(日本)']
['永远的三丁目的夕阳 ALWAYS 三丁目の夕日', '8.8', '26569', '2005-11-05(日本)']
['追梦赤子心 Rudy', '8.8', '19970', '1993-10-13']
['金色池塘 On Golden Pond', '8.8', '15150', '1982-01-22(美国)']
['鲁冰花 魯冰花', '8.8', '8973', '1989-08-26(台湾)']
['情书 Love Letter', '8.8', '357823', '1995-03-25(日本)']
['因父之名 In the Name of the Father', '8.8', '20053', '1993-12-12(爱尔兰首映)']
['äşşçąť Human', '8.8', '8799', '2015-09-12(ćł\x95ĺ\x9b˝)']
['似水年华', '8.8', '19358', '2003-07-04(中国大陆)']
['东京教父 東京ゴッドファーザーズ', '8.8', '42455', '2003-11-08']
['我家的历史 わが家の歴史', '8.8', '14123', '2010-04-09(日本)']
['致命魔术 The Prestige', '8.8', '324201', '2006-10-20(美国)']
['入殓师 おくりびと', '8.8', '307307', '2008-09-13(日本)']
['浮生一日 Life in a Day', '8.8', '48030', '2011-07-24(美国)']
['上帝也疯狂2 The Gods Must Be Crazy II', '8.8', '39300', '1989-07-26']
['为了N Nのために', '8.8', '33562', '2014-10-17(日本)']
['侧耳倾听 耳をすませば', '8.8', '156763', '1995-07-15(日本)']
['阳光姐妹淘 써니', '8.8', '253719', '2011-05-04(韩国)']
['悲情城市', '8.8', '35441', '1989-09-04(威尼斯电影节)']
['坠入 The Fall', '8.8', '45220', '2006-09-09(多伦多电影节)']
['独立时代 獨立時代', '8.8', '14182', '1994-09-12']
['寿司之神 Jiro Dreams of Sushi', '8.8', '74584', '2011-11-08(美国电影学院影展)']
["小小摄影师的异想世界 Born Into Brothels: Calcutta's Red Light Kids", '8.8', '6124', '2005-03-11(美国)']
['明天，妈妈不在 明日、ママがいない', '8.8', '25749', '2014-01-15(日本)']
['刺猬的优雅 Le hérisson', '8.8', '54698', '2009-07-03(法国)']
['迷失 第六季 Lost Season 6', '8.8', '16702', '2010-02-02(美国)']
['相助 The Help', '8.8', '51914', '2011-08-10(美国)']
['喜宴', '8.8', '126323', '1993-02(柏林电影节)']
['魂断蓝桥 Waterloo Bridge', '8.8', '122816', '1940-05-17(美国)']
['春光乍泄 春光乍洩', '8.8', '228896', '1997-05-30']
['房间 Room', '8.8', '129127', '2015-09-04(特柳赖德电影节)']
['心竞技 Free to Play', '8.8', '5829', '2014-03-19(美国)']
['极速风流 Rush', '8.8', '72870', '2015-12-11(中国大陆)']
['城南旧事', '8.8', '25951', '1983']
['燃情岁月 Legends of the Fall', '8.8', '142888', '1994-12-16(美国)']
['在世界尽头相遇 Encounters at the End of the World', '8.8', '6691', '2007-09-01']
['办公室的故事 Служебный Роман', '8.8', '11994', '1977-02-03(苏联)']
['回归 Возвращение', '8.8', '11884', '2003-06-25']
['与玛格丽特的午后 La tête en friche', '8.8', '17716', '2010-06-02(法国)']
['家族的形式 家族ノカタチ', '8.7', '31994', '2016-01-17(日本)']
['超脱 Detachment', '8.7', '160843', '2011-04-25(翠贝卡电影节)']
['跳出我天地 Billy Elliot', '8.7', '55337', '2000-05-19(戛纳电影节)']
['爱在午夜降临前 Before Midnight', '8.7', '103534', '2013-06-14(美国)']
['低俗小说 Pulp Fiction', '8.7', '316415', '1994-05-12(戛纳电影节)']
['乱', '8.7', '30956', '1985-06-01(日本)']
['教父3 The Godfather: Part III', '8.7', '120333', '1990-12-20']
['心灵捕手 Good Will Hunting', '8.7', '255414', '1997-12-05(美国)']
['孽子', '8.7', '7317', '2003-02-17(台湾)']
['晚春 晩春', '8.7', '8856', '1949-09-13(日本)']
['大鱼 Big Fish', '8.7', '238435', '2003-12-10(多伦多首映)']
['č\x8d\x92č\x9bŽć\x95\x85äş\x8b Relatos salvajes', '8.7', '115658', '2014-05-17(ć\x88\x9bçşłç\x94ľĺ˝ąč\x8a\x82)']
['布达佩斯大饭店 The Grand Budapest Hotel', '8.7', '285478', '2014-02-06(柏林电影节)']
['豹 Il gattopardo', '8.7', '6938', '1963-03-29(意大利)']
['阳光灿烂的日子', '8.7', '256143', '1995-08-21(中国大陆)']
['梦之安魂曲 Requiem for a Dream', '8.7', '103511', '2000-10-27']
['爱在日落黄昏时 Before Sunset', '8.7', '187423', '2004-02-10(柏林电影节)']
['男孩与世界 O Menino e o Mundo', '8.7', '8515', '2013-09-20(渥太华动画电影节)']
['横道世之介', '8.7', '50252', '2013-02-23(日本)']
["天使爱美丽 Le fabuleux destin d'Amélie Poulain", '8.7', '464841', '2001-04-25(法国)']
['烈日灼人 Утомлённые солнцем', '8.7', '7660', '1994-05-21(戛纳电影节)']
['我的邻居山田君 ホーホケキョとなりの山田くん', '8.7', '35083', '1999-07-17(日本)']
['秋刀鱼之味 秋刀魚の味', '8.7', '17677', '1962-11-18(日本)']
['伦敦一家人 Ethel & Ernest', '8.7', '8513', '2016-10-15(伦敦电影节)']
['疯狂约会美丽都 Les triplettes de Belleville', '8.7', '50182', '2003-06-11(法国)']
['李献计历险记', '8.7', '86066', '2009-12-05']
['邮差 Il postino', '8.7', '10653', '1994-09-01']
['碧海蓝天 Le grand bleu', '8.7', '103534', '1988-05-11(法国)']
['无尽 Accro', '8.7', '5346', '2010']
['本杰明·巴顿奇事 The Curious Case of Benjamin Button', '8.7', '376104', '2008-12-25(美国)']
['玛瑞娜·阿布拉莫维奇：艺术家在场 Marina Abramović: The Artist Is Present', '8.7', '6367', '2012-01-20(圣丹斯电影节)']
['芬妮与亚历山大 Fanny och Alexander', '8.7', '6997', '1982-12-17']
['总有一天 Der kommer en dag', '8.7', '12841', '2016-04-21(丹麦)']
['东京女子图鉴 東京女子図鑑', '8.7', '48515', '2016-12-16(日本)']
['成年女性的动画时间 大人女子のアニメタイム', '8.7', '5827', '2013-03-10(日本)']
['天堂的颜色 رنگ از بهشت', '8.7', '8479', '1999-02-08(伊朗)']
['皮娜 Pina', '8.7', '9976', '2011-02-13(柏林电影节)']
['萤火虫之墓 火垂るの墓', '8.7', '192867', '1988-04-16(日本)']
['英雄本色', '8.7', '137349', '1986-08-02(香港)']
['巴里·林登 Barry Lyndon', '8.7', '10029', '1975-12-18']
['牯岭街少年杀人事件 牯嶺街少年殺人事件', '8.7', '95058', '1991-07-27(台湾)']
['东京家族 東京家族', '8.7', '22923', '2013-01-19(日本)']
['一次别离 جدایی نادر از سیمین', '8.7', '123014', '2012-11-13(中国大陆)']
['阿玛柯德 Amarcord', '8.7', '5284', '1973-12-13(意大利)']
['黄昏的清兵卫 たそがれ清兵衛', '8.7', '15192', '2002-11-02(日本)']
['一个叫欧维的男人决定去死 En man som heter Ove', '8.7', '89633', '2015-12-25(瑞典)']
['西西里的美丽传说 Malèna', '8.7', '325098', '2000-10-27(意大利)']
['纵横四海 緃横四海', '8.7', '131589', '1991-02-02(香港)']
['猫鼠游戏 Catch Me If You Can', '8.7', '204136', '2002-12-16(洛杉矶首映)']
['血色浪漫', '8.7', '33966', '2004-11-30(中国大陆)']
['冰峰168小时 Touching the Void', '8.7', '5125', '2003-12-12']
["魔术师 L'illusionniste", '8.7', '47586', '2010-06-16(法国)']
['寻找薇薇安·迈尔 Finding Vivian Maier', '8.7', '8952', '2013-09-09(多伦多电影节)']
['欢迎加入NHK N・H・Kにようこそ!', '8.7', '5058', '2006-07-09(日本)']
['请你原谅我', '8.7', '9588', '2011-08-27(中国大陆)']
['呼喊与细语 Viskningar och rop', '8.7', '7745', '1972-12-21']
['四百击 Les quatre cents coups', '8.7', '43183', '1959-11-16']
['绝望主妇 第一季 Desperate Housewives Season 1', '8.7', '52608', '2004-10-03(美国)']
['äźŚć\x95Śç\x94\x9fć´ť Fleabag', '8.7', '33848', '2016-07-21(č\x8bąĺ\x9b˝)']
['暴雨将至 Пред дождот', '8.7', '16245', '1994-09-01']
['末路狂花 Thelma & Louise', '8.7', '95602', '1991-05-24(美国)']
['神迹 Something The Lord Made', '8.7', '5335', '2004-05-30(美国)']
['中央车站 Central do Brasil', '8.7', '71875', '1998-01-16']
['时光钟摆 振り子', '8.7', '7350', '2012-03-20']
['潜行者 Сталкер', '8.7', '6770', '1979-05(苏联)']
['沙漠之花 Desert Flower', '8.7', '45563', '2009-09-24']
['千钧一发 Gattaca', '8.7', '75421', '1997-10-24(美国)']
['头脑特工队 Inside Out', '8.7', '198447', '2015-10-06(中国大陆)']
['虎豹小霸王 Butch Cassidy and the Sundance Kid', '8.7', '9099', '1969-10-10']
['蝴蝶效应 The Butterfly Effect', '8.7', '363694', '2004-01-23(美国)']
['让子弹飞', '8.7', '594264', '2010-12-16(中国大陆)']
['斯图尔特：倒带人生 Stuart: A Life Backwards', '8.7', '22687', '2007-09-23(英国)']
['绿里奇迹 The Green Mile', '8.7', '98500', '1999-12-10(美国)']
['蓝白红三部曲之红 Trois couleurs: Rouge', '8.7', '55834', '1994-05-12(戛纳电影节)']
['恐怖分子 恐怖份子', '8.7', '12435', '1986-12-19(台湾)']
['奇迹 奇跡', '8.7', '19565', '2011-06-11(日本)']
['弗里达 Frida', '8.7', '25643', '2002-08-29(威尼斯电影节)']
['日落大道 Sunset Blvd.', '8.7', '20586', '1950-08-10']
['大卫·戈尔的一生 The Life of David Gale', '8.7', '79668', '2003-02-21(美国)']
['东邪西毒：终极版 東邪西毒終極版', '8.7', '86155', '2009-03-26(中国大陆)']
['剪刀手爱德华 Edward Scissorhands', '8.7', '464137', '1990-12-06(美国)']
['探戈 Tango', '8.7', '11423', '1981']
['野草莓 Smultronstället', '8.7', '21220', '1957-12-26(瑞典)']
['永远的三丁目的夕阳2 ALWAYS 続・三丁目の夕日', '8.7', '12191', '2007-11-03(日本)']
['变脸', '8.7', '13882', '1996-09']
['芭萨提的颜色 Rang De Basanti', '8.6', '9388', '2006-01-26']
['猫汤 ねこぢる草', '8.7', '37251', '2001-02-21(日本)']
['铁拳男人 Cinderella Man', '8.7', '26802', '2005-06-03(美国)']
['假面 Persona', '8.7', '7975', '1966-10-18']
['告白', '8.6', '321200', '2010-06-05(日本)']
['我在伊朗长大 Persepolis', '8.6', '69234', '2007-06-27(法国)']
['西伯利亚的理发师 Сибирский цирюльник', '8.6', '21013', '1998-10-30(首映)']
['甜蜜的生活 La Dolce Vita', '8.6', '8555', '1960-02-03(意大利-罗马首映)']
['宽松世代又如何 ゆとりですがなにか', '8.6', '18922', '2016-04-17(日本)']
['ĺ¤§ć\xad\x8cĺ\x94ąĺŽś Maestro', '8.6', '11312', '2005-11-23']
['望乡 サンダカン八番娼館 望郷', '8.6', '5532', '1974-11-02(日本)']
['上帝也疯狂 The Gods Must Be Crazy', '8.6', '89438', '1980-09-10(南非)']
['可可西里', '8.6', '119901', '2004-10-01(中国大陆)']
['燕尾蝶 スワロウテイル', '8.6', '102762', '1996-09-14(日本)']
['阿拉伯的劳伦斯 Lawrence of Arabia', '8.6', '21667', '1962-12-10(英国)']
['霍金传 Hawking', '8.6', '10934', '2004-04-13(英国)']
['我们俩', '8.6', '68714', '2005-10(东京电影节)']
['完美陌生人 Perfetti sconosciuti', '8.6', '127695', '2016-02-11(意大利)']
['重庆森林 重慶森林', '8.6', '307716', '1994-07-14(香港)']
['达拉斯买家俱乐部 Dallas Buyers Club', '8.6', '153969', '2013-09-07(多伦多电影节)']
['莫扎特传 Amadeus', '8.6', '62573', '1984-09-19']
["天伦之旅 Everybody's Fine", '8.6', '59204', '2009-12-04(美国)']
['查令十字街84号 84 Charing Cross Road', '8.6', '11096', '1987-02-13(美国)']
['记我的母亲 わが母の記', '8.6', '6078', '2012-04-28(日本)']
['天堂陌影 Stranger Than Paradise', '8.6', '5978', '1984-11-09']
['信号 Signs', '8.6', '30394', '2008-03-10(澳大利亚)']
['德州巴黎 Paris, Texas', '8.6', '24072', '1984-05-14(戛纳电影节)']
['午宴之歌 The Song of Lunch', '8.6', '9646', '2010-10-08(英国)']
['我们天上见', '8.6', '44801', '2010-04-02(中国大陆)']
['ć\x9c\x97čŻťč\x80\x85', '8.6', '12466', '2017-02-18(ä¸\xadĺ\x9b˝ĺ¤§é\x99\x86)']
['开罗紫玫瑰 The Purple Rose of Cairo', '8.6', '11079', '1985-03-01']
['幸福终点站 The Terminal', '8.6', '214459', '2005-01-14(中国大陆)']
['东京塔 東京タワー～オカンとボクと、時々、オトン～', '8.6', '22192', '2007-04-14(日本)']
